,大腿角度R,大腿角度L,膝角度R,膝角度L,大腿直筋肉長さR
348,64.77188392193524,59.25318934366425,44.76946436494341,27.423222219418992,502.1824760486727
349,63.20546285059592,52.43550018462116,39.41417805818346,25.834569866281193,536.35106341941
350,63.423647226022446,55.21505845011064,44.65357101491109,26.924365475817662,501.8652953073807
351,63.67092429522017,56.59812095277474,45.098243002241546,27.889690749298772,505.56194523510453
352,64.17882851551201,56.61757795661411,45.32338468477232,27.73774760324592,503.9302565178507
353,64.1353673190914,56.63842190640619,44.41104879679593,27.234695912325645,502.44004682770037
354,63.990232079975456,54.66091196295584,39.921424342308974,26.690471317776097,539.0452883855403
355,65.73392396986566,61.19203369972989,44.58149567254879,29.32742678168966,512.1153957398308
356,66.39120208250415,65.85738549338497,47.59411016031012,34.9435894986669,510.31946440367255
357,71.43641237710641,70.05880511211434,53.718711509894796,38.459488813738275,499.31221817451666
358,69.67952274435228,70.43813958878377,51.92178228947831,43.71419679636198,530.9150675965537
359,75.46757225135842,80.5669149133145,56.64780859203283,54.743506390255,538.5260660532261
360,88.08456110669029,90.85806912192426,69.31585318768671,64.57473887100151,538.4578767100938
361,90.14881184815988,94.17657232374621,70.63566720079773,68.23151300934724,539.8587067008185
362,98.42207722506835,104.37707392783118,77.6187078276031,81.67742984622244,542.786421425771
363,100.68572680605968,104.84668247284051,82.26524641532959,83.89381366868118,555.938846067676
364,107.43599793393409,111.46136660924012,89.62663766189067,91.1822872185361,551.5215975031158
365,114.47365382461881,120.22211070748062,97.63101937149405,104.11075544877119,557.3137172019117
366,116.13258636510241,125.78034844533703,103.80851878144095,113.15780308488786,576.428803613112
367,126.98186871759683,133.11330651888147,113.06205913066589,119.39446507006303,578.2669182230181
368,129.5384018203313,134.78327263781537,121.49351227880433,125.35867556924597,582.8388057491604
369,135.7094057804172,140.3427448763871,128.37391657989858,135.25804305106922,591.095535966024
370,138.86907760539268,143.85212721318962,135.32051002301716,143.06055411133306,593.751205098766
371,144.9207905613944,148.85922589998577,147.3173329032402,154.62304942410418,582.2984177466262
372,151.28678963217394,153.70653441604233,157.25031678223067,163.76457587875157,578.7014452635732
